云南省云县幸福糖业有限公司 (滇)XK13-001-00076
云南省玉溪市金葫化工有限公司 (滇)XK13-006-00005
马关县奔腾氧气站 (滇)XK13-005-00013
昆明元祥金属包装材料有限公司 (滇)XK12-001-00005
云南省曲靖化学工业有限公司 (滇)XK13-014-00027
云南省玉溪市同乐化工建材有限公司 (滇)XK13-014-00018
云南森源化工有限公司 (滇)XK13-014-00039
安宁鑫屯化工工贸有限责任公司 (滇)XK13-019-00004
开远市中资化工有限责任公司 (滇)XK13-001-00012
宁夏兴晟煤焦化活性炭有限公司 (宁)XK13-015-00001
石嘴山市宏邦工贸有限公司 (宁)XK12-001-00002
宁夏常能达焦化实业有限公司 (宁)XK13-014-00003
石嘴山市河源精细化工有限公司 (宁)XK13-006-00001
石嘴山市润丰化工有限公司 (宁)XK13-015-00003
宁夏东方钽业股份有限公司 (宁)XK13-006-00002
宁夏松瑞林产品有限公司 (宁)XK03-002-00003
平罗县福玺化工有限责任公司 (宁)XK13-005-00003
银川市荣禧建筑防水材料有限公司 (宁)XK08-005-00004
银川市富邦印刷包装有限公司 (宁)XK16-204-00003
康师傅（西安）饮品有限公司银川生产分公司 (宁)XK16-204-00006
宁夏农丰源肥业科技有限公司 (宁)XK13-001-00003
宁夏众科特种线有限公司 (宁)XK06-001-00006
宁夏丰友化工股份有限公司 (宁)XK13-001-00010
银川市金凤区个体经营冀宁扣件厂 宁)XK21-001-00001
宁夏银川银化气体有限责任公司 宁)XK13-010-00001
宁夏金昱元化工集团有限公司 (宁)XK13-010-00005
吴忠市旺源化工有限公司 (宁)XK13-010-00004
宁夏金昱元化工集团有限公司 (宁)XK13-005-00001
宁夏开元丰友化工股份有限公司 (宁)XK13-014-00004
中国石油天然气股份有限公司宁夏石化分公司 (宁)XK13-001-00008
宁夏灵州建筑工程有限公司 (宁)XK08-005-00003
宁夏贺兰磷肥有限责任公司 (宁)XK13-001-00007
银川金河塑料包装有限公司 (宁)XK16-204-00012
宁夏常富化工有限公司 (宁)XK13-008-00002
宁夏银珠防水防腐工程有限公司 (宁)XK08-005-00006
中卫市兴明乙炔制造有限公司 (宁)XK13-005-00005
宁夏富荣化工有限公司 (宁)XK13-016-00002
宁夏大荣化工冶金有限公司 (宁)XK13-010-00007
宁夏日盛实业有限公司 (宁)XK13-008-00003
宁夏天峰化工有限公司 (宁)XK13-016-00004
平罗县恒生化工有限公司 (宁)XK13-010-00008
宁夏聚能工贸有限公司 (宁)XK12-001-00008
宁夏宝马化工集团有限公司 (宁)XK13-019-00018
石嘴山市小松山矿泉水有限公司 宁XK16-204-00010
灵武市南苑小区金慧制杯厂 宁XK16-205-00002
安徽省肥西县复合肥厂 (皖)XK13-001-00017
滁州市阳禾配方肥料厂 (皖)XK13-001-00019
安徽太平洋电缆集团有限公司 (皖)XK06-001-00152
芜湖康乾新材料有限公司 皖XK16-204-00413
安徽格然木业有限公司 (皖)XK03-002-00146
安徽板蓝花饮料有限公司 皖XK16-204-00200
合肥新干线电线电缆有限公司 (皖)XK06-001-00166
黄山市金坑源工贸有限公司 皖XK16-205-00035
安徽瑞祥医药包装有限公司 皖XK16-204-00487
合肥蓝蓝科贸有限公司 皖XK16-204-00188
震宇（芜湖）实业有限公司 皖XK16-204-00528
庞贝捷涂料（芜湖）有限公司 (皖)XK13-020-00005
芜湖县新艺塑料印刷包装有限公司 皖XK16-205-00086
合肥达意隆包装技术有限公司 皖XK16-204-00133
旌德县瑞丰塑料制品厂 (皖)XK02-001-00054
天长市宇俊电缆厂 (皖)XK06-001-00248
天长市龙岗电气股份有限公司 (皖)XK06-001-00274
安徽新特佳电缆有限公司 (皖)XK06-001-00213
铜陵精工里亚特种线材有限公司 (皖)XK06-001-00102
安徽互感器有限公司 (皖)XK06-001-00276
安徽新时代电缆集团有限公司 (皖)XK06-001-00232
安徽翔宇电缆有限公司 (皖)XK06-001-00265
安徽电缆厂 (皖)XK06-001-00223
慈溪市三江气体有限公司 (浙)XK13-010-00058
浙江居安宝木业有限公司 (浙)XK03-002-00127
湖州新州机电材料有限公司 (浙)XK06-001-00002
浙江世康木业有限公司 (浙)XK03-002-00275
湖州南浔安兰美家地板厂 (浙)XK03-002-00153
浙江康辉木业有限公司 (浙)XK03-002-00278
湖州南浔世海地板厂 (浙)XK03-002-00113
浙江太平工贸有限公司 (浙)XK16-002-00006
浙江浩洋娇子车业有限公司 (浙)XK16-002-00066
嘉兴市德斯盛制泵有限公司 (浙)XK06-003-00384
嘉善辉龙木业厂 (浙)XK03-002-00005
浙江裕华木业有限公司 (浙)XK03-002-00312
茂友木材股份有限公司 (浙)XK03-002-00020
湖州巨峰木业有限公司 (浙)XK03-002-00041
浙江圣正木业有限公司 (浙)XK03-002-00180
浙江景宁畲族自治县宇泰气体有限公司 (浙)XK13-010-00060
浙江雅迪机车有限公司 (浙)XK16-002-00082
湖州万里电工材料有限公司 (浙)XK06-001-00124
海宁华联印刷有限公司 (浙)XK12-001-00088
湖州市南浔如意林业有限公司 (浙)XK03-002-00339
浙江迪邦化工有限公司 (浙)XK13-014-00012
浙江越球铜业有限公司 (浙)XK06-001-00010
嘉兴恒通木业有限公司 (浙)XK03-002-00316
嘉善绿舟木业有限公司 (浙)XK03-002-00076
舟山市定海弘腾制氧有限公司 (浙)XK13-010-00008
湖州绿宝生态肥业有限公司 XK13-001-00008
湖州汇晶化工有限公司 (浙)XK13-005-00001
浙江美欣达印染集团股份有限公司 (浙)XK02-001-00014
湖州巨峰木业有限公司 (浙)XK03-002-00041
德清县德润木业有限公司 (浙)XK03-002-00042
德清县众旺木业有限公司 (浙)XK03-002-00069
德清县鸿强木业有限公司 (浙)XK03-002-00085
德清县乾峰木业有限公司 (浙)XK03-002-00084
德清县恒基木业有限公司 (浙)XK03-002-00131
德清县武康镇德隆木工板厂 (浙)XK03-002-00104
湖州旧馆圣正地板厂 (浙)XK03-002-00180
嘉善美威木业有限公司 (浙)XK03-002-00089
嘉善豪博木业有限公司 (浙)XK03-002-00055
嘉兴市南湖区步南包装厂 (浙)XK12-001-00182
浙江途尔车业有限公司 (浙)XK16-002-00300
宁波鑫健电子实业有限公司 (浙)XK06-001-00193
宁波吉欧光电科技有限公司 (浙)XK02-001-00199
宁波南祥电线电缆厂 (浙)XK06-001-00014
罗蒙集团股份有限公司 (浙)XK02-001-00010
浙江五谷实业有限公司 (浙)XK06-001-00025
浙江兰亭新材料有限公司 (浙)XK08-005-00011
嘉善博奥科技有限公司 (浙)XK16-001-00015
海宁市立申制氧有限公司 (浙)XK13-010-00040
海盐县新联交通有限责任公司 (浙)XK06-001-00078
湖州宝丽华装饰新材有限公司 (浙)XK03-002-00062
湖州织里新飞亚电线电缆厂 (浙)XK06-001-00045
浙江长兴威尔鹰电缆科技有限公司 (浙)XK06-001-00069
浙江森嘉林地板有限公司 (浙)XK03-002-00166
绍兴宇乐化工有限公司 (浙)XK13-008-00015
上虞自强高分子化工材料有限公司 (浙)XK13-027-00001
浙江迪邦化工有限公司 (浙)XK13-012-00014
绍兴县江华化工有限公司 (浙)XK13-012-00010
德清县成功气体有限公司 (浙)XK13-010-00035
浙江欧亚美墅家木业有限公司 (浙)XK03-002-00281
绍兴市义鹏纺织科技有限公司 (浙)XK16-001-00022
浙江衢州巨泰建材有限公司 (浙)XK13-005-00008
衢州市市政建设开发有限公司 (浙)XK08-002-00006
台州市利达电机厂 (浙)XK06-003-00076
浙江金大陆泵业有限公司 (浙)XK06-003-00083
温岭市耀华电器厂 (浙)XK06-003-00089
台州双阳机电有限公司 (浙)XK06-003-00094
台州群英泵业有限公司 (浙)XK06-003-00095
浙江钜森机电有限公司 (浙)XK06-003-00097
台州西博玛机电有限公司 (浙)XK06-003-00099
台州韩兴泵业有限公司 (浙)XK06-003-00100
台州泳浪泵业有限公司 (浙)XK06-003-00102
浙江杭海电机有限公司 (浙)XK06-003-00103
温岭市格轮不锈钢泵业有限公司 (浙)XK06-003-00104
温岭市欧威水泵厂 (浙)XK06-003-00105
温岭市联友制氧气厂 (浙)XK13-010-00027
台州市台恩汽摩部件有限公司 (浙)XK16-002-00119
浙江生活家巴洛克木业有限公司 (浙)XK03-002-00358
浙江柏尔木业有限公司 (浙)XK03-002-00197
浙江舒意劳保用品有限公司 (浙)XK02-001-00026
台州市大奔电动车有限公司 (浙)XK16-002-00009
温岭市天丰水泵厂 (浙)XK06-003-00117
台州市法拉帝机电有限公司 (浙)XK06-003-00124
台州福力机电有限公司 (浙)XK06-003-00126
温岭市大溪垂虹电器厂 (浙)XK06-003-00127
台州恒帆泵业有限公司 (浙)XK06-003-00129
台州大正泵业有限公司 (浙)XK06-003-00131
台州金湖机电有限公司 (浙)XK06-003-00116
台州市振港染料化工有限公司 (浙)XK13-012-00008
台州市椒江江南制氧厂 (浙)XK13-010-00109
温岭市松门制氧厂 (浙)XK13-010-00054
台州博金防水保温工程有限公司 (浙)XK08-005-00010
海盐县特种纤维织造厂 (浙)XK02-001-00024
浙江越州纸品有限公司 (浙)XK12-001-00041
浙江宏鑫染化材料有限公司 (浙)XK12-001-00195
九川（浙江）科技股份有限公司 (浙)XK06-001-00019
台州市国泰安全防护用品有限公司 (浙)XK02-001-00035
温岭市田洋电机厂 (浙)XK06-003-00143
台州民安电机有限公司 (浙)XK06-003-00146
台州银鱼泵业有限公司 (浙)XK06-003-00148
台州航汇机电有限公司 (浙)XK06-003-00156
台州伟生泵业有限公司 (浙)XK06-003-00159
台州市椒江康迪气体有限公司 (浙)XK13-010-00033
浙江恒泰源聚氨酯有限公司 (浙)XK12-001-00056
浙江恒泰源聚氨酯有限公司 (浙)XK12-001-00056
浙江正圆气体有限公司 (浙)XK13-010-00069
遂昌县富丽人造板有限公司 (浙)XK03-002-00059
青田县新力复合材料有限公司 (浙)XK13-027-00002
浙江顺风鸟服饰有限公司 (浙)XK02-001-00088
丽水欧科人造板有限公司 (浙)XK03-002-00033
